Date,Close
2012-06-27,13.3100004196167
2012-06-28,13.399999618530273
2012-06-29,13.329999923706055
2012-07-02,13.550000190734863
2012-07-03,13.210000038146973
2012-07-05,13.470000267028809
2012-07-06,13.869999885559082
2012-07-09,13.489999771118164
2012-07-10,13.90999984741211
2012-07-11,14.119999885559082
2012-07-12,13.970000267028809
2012-07-13,14.449999809265137
2012-07-16,14.09000015258789
2012-07-17,14.069999694824219
2012-07-18,13.420000076293945
2012-07-19,12.5
2012-07-20,12.010000228881836
2012-07-23,12.079999923706055
2012-07-24,11.59000015258789
2012-07-25,11.149999618530273
2012-07-26,11.1899995803833
2012-07-27,11.350000381469727
2012-07-30,11.289999961853027
2012-07-31,11.460000038146973
2012-08-01,10.829999923706055
2012-08-02,10.680000305175781
2012-08-03,10.890000343322754
2012-08-06,10.8100004196167
2012-08-07,9.9399995803833
2012-08-08,10.399999618530273
2012-08-09,10.050000190734863
2012-08-10,10.069999694824219
2012-08-13,10.119999885559082
2012-08-14,10.119999885559082
2012-08-15,10.149999618530273
2012-08-16,9.90999984741211
2012-08-17,10.079999923706055
2012-08-20,10.59000015258789
2012-08-21,11.420000076293945
2012-08-22,11.609999656677246
2012-08-23,11.039999961853027
2012-08-24,11.109999656677246
2012-08-27,11.039999961853027
2012-08-28,10.8100004196167
2012-08-29,10.449999809265137
2012-08-30,10.399999618530273
2012-08-31,10.65999984741211
2012-09-04,10.449999809265137
2012-09-05,11.220000267028809
2012-09-06,11.420000076293945
2012-09-07,12.140000343322754
2012-09-10,12.0
2012-09-11,11.619999885559082
2012-09-12,11.819999694824219
2012-09-13,11.25
2012-09-14,10.529999732971191
2012-09-17,10.5600004196167
2012-09-18,10.3100004196167
2012-09-19,10.970000267028809
2012-09-20,10.680000305175781
2012-09-21,10.670000076293945
2012-09-24,10.510000228881836
2012-09-25,10.279999732971191
2012-09-26,10.5
2012-09-27,10.359999656677246
2012-09-28,10.460000038146973
2012-10-01,10.75
2012-10-02,10.880000114440918
2012-10-03,11.779999732971191
2012-10-04,11.670000076293945
2012-10-05,11.65999984741211
2012-10-08,11.569999694824219
2012-10-09,11.300000190734863
2012-10-10,11.34000015258789
2012-10-11,11.170000076293945
2012-10-12,11.359999656677246
2012-10-15,11.420000076293945
2012-10-16,11.579999923706055
2012-10-17,11.619999885559082
2012-10-18,11.720000267028809
2012-10-19,11.470000267028809
2012-10-22,11.920000076293945
2012-10-23,12.09000015258789
2012-10-24,12.369999885559082
2012-10-25,11.970000267028809
2012-10-26,11.920000076293945
2012-10-31,12.180000305175781
2012-11-01,12.550000190734863
2012-11-02,12.529999732971191
2012-11-05,12.640000343322754
2012-11-06,12.670000076293945
2012-11-07,12.59000015258789
2012-11-08,13.020000457763672
2012-11-09,12.609999656677246
2012-11-12,12.289999961853027
2012-11-13,12.59000015258789
2012-11-14,12.010000228881836
2012-11-15,12.0600004196167
2012-11-16,11.760000228881836
2012-11-19,12.069999694824219
2012-11-20,12.489999771118164
2012-11-21,12.470000267028809
2012-11-23,12.5
2012-11-26,12.920000076293945
2012-11-27,12.720000267028809
2012-11-28,12.970000267028809
2012-11-29,13.0
2012-11-30,12.890000343322754
2012-12-03,12.65999984741211
2012-12-04,12.380000114440918
2012-12-05,12.109999656677246
2012-12-06,12.609999656677246
2012-12-07,12.770000457763672
2012-12-10,12.779999732971191
2012-12-11,12.880000114440918
2012-12-12,12.699999809265137
2012-12-13,12.970000267028809
2012-12-14,12.829999923706055
2012-12-17,12.789999961853027
2012-12-18,12.949999809265137
2012-12-19,13.479999542236328
2012-12-20,13.539999961853027
2012-12-21,13.4399995803833
2012-12-24,13.329999923706055
2012-12-26,13.229999542236328
2012-12-27,13.100000381469727
2012-12-28,12.789999961853027
2012-12-31,13.5
2013-01-02,13.979999542236328
2013-01-03,13.65999984741211
2013-01-04,14.729999542236328
2013-01-07,14.84000015258789
2013-01-08,15.15999984741211
2013-01-09,15.130000114440918
2013-01-10,15.140000343322754
2013-01-11,14.779999732971191
2013-01-14,14.670000076293945
2013-01-15,14.3100004196167
2013-01-16,14.630000114440918
2013-01-17,14.479999542236328
2013-01-18,14.4399995803833
2013-01-22,14.850000381469727
2013-01-23,15.069999694824219
2013-01-24,14.670000076293945
2013-01-25,14.970000267028809
2013-01-28,15.029999732971191
2013-01-29,14.420000076293945
2013-01-30,14.300000190734863
2013-01-31,14.279999732971191
2013-02-01,14.119999885559082
2013-02-04,13.989999771118164
2013-02-05,14.09000015258789
2013-02-06,14.5600004196167
2013-02-07,15.109999656677246
2013-02-08,14.75
2013-02-11,14.460000038146973
2013-02-12,14.270000457763672
2013-02-13,14.65999984741211
2013-02-14,13.989999771118164
2013-02-15,14.5
2013-02-19,14.260000228881836
2013-02-20,13.329999923706055
2013-02-21,13.369999885559082
2013-02-22,13.569999694824219
2013-02-25,13.020000457763672
2013-02-26,13.260000228881836
2013-02-27,13.40999984741211
2013-02-28,13.430000305175781
2013-03-01,13.609999656677246
2013-03-04,13.899999618530273
2013-03-05,14.050000190734863
2013-03-06,14.569999694824219
2013-03-07,14.819999694824219
2013-03-08,14.920000076293945
2013-03-11,15.130000114440918
2013-03-12,15.5
2013-03-13,15.90999984741211
2013-03-14,16.25
2013-03-15,15.979999542236328
2013-03-18,16.290000915527344
2013-03-19,16.780000686645508
2013-03-20,17.229999542236328
2013-03-21,17.0
2013-03-22,16.860000610351562
2013-03-25,16.600000381469727
2013-03-26,16.510000228881836
2013-03-27,16.649999618530273
2013-03-28,16.969999313354492
2013-04-01,16.670000076293945
2013-04-02,15.739999771118164
2013-04-03,15.529999732971191
2013-04-04,15.6899995803833
2013-04-05,15.720000267028809
2013-04-08,15.84000015258789
2013-04-09,15.699999809265137
2013-04-10,15.779999732971191
2013-04-11,16.190000534057617
2013-04-12,16.139999389648438
2013-04-15,15.59000015258789
2013-04-16,16.3700008392334
2013-04-17,16.520000457763672
2013-04-18,16.100000381469727
2013-04-19,16.020000457763672
2013-04-22,15.520000457763672
2013-04-23,16.299999237060547
2013-04-24,16.450000762939453
2013-04-25,16.219999313354492
2013-04-26,16.59000015258789
2013-04-29,16.809999465942383
2013-04-30,16.899999618530273
2013-05-01,16.600000381469727
2013-05-02,16.940000534057617
2013-05-03,17.020000457763672
2013-05-06,17.0
2013-05-07,16.979999542236328
2013-05-08,17.34000015258789
2013-05-09,17.3799991607666
2013-05-10,17.760000228881836
2013-05-13,17.719999313354492
2013-05-14,18.100000381469727
2013-05-15,18.809999465942383
2013-05-16,19.1200008392334
2013-05-17,19.010000228881836
2013-05-20,18.59000015258789
2013-05-21,17.950000762939453
2013-05-22,17.93000030517578
2013-05-23,18.190000534057617
2013-05-24,18.209999084472656
2013-05-28,18.1200008392334
2013-05-29,17.829999923706055
2013-05-30,17.670000076293945
2013-05-31,17.56999969482422
2013-06-03,17.729999542236328
2013-06-04,17.649999618530273
2013-06-05,16.950000762939453
2013-06-06,16.639999389648438
2013-06-07,17.020000457763672
2013-06-10,17.260000228881836
2013-06-11,16.920000076293945
2013-06-12,16.8799991607666
2013-06-13,17.010000228881836
2013-06-14,16.93000030517578
2013-06-17,16.950000762939453
2013-06-18,17.219999313354492
2013-06-19,17.059999465942383
2013-06-20,16.729999542236328
2013-06-21,16.34000015258789
2013-06-24,16.1299991607666
2013-06-25,16.459999084472656
2013-06-26,16.170000076293945
2013-06-27,16.309999465942383
2013-06-28,16.420000076293945
2013-07-01,16.799999237060547
2013-07-02,16.43000030517578
2013-07-03,16.75
2013-07-05,16.84000015258789
2013-07-08,16.940000534057617
2013-07-09,17.360000610351562
2013-07-10,17.170000076293945
2013-07-11,17.3700008392334
2013-07-12,17.559999465942383
2013-07-15,17.760000228881836
2013-07-16,17.950000762939453
2013-07-17,18.450000762939453
2013-07-18,18.420000076293945
2013-07-19,18.229999542236328
2013-07-22,18.149999618530273
2013-07-23,18.049999237060547
2013-07-24,18.5
2013-07-25,18.829999923706055
2013-07-26,19.09000015258789
2013-07-29,19.229999542236328
2013-07-30,19.200000762939453
2013-07-31,19.350000381469727
2013-08-01,19.3799991607666
2013-08-02,18.920000076293945
2013-08-05,19.170000076293945
2013-08-06,18.920000076293945
2013-08-07,18.8700008392334
2013-08-08,18.979999542236328
2013-08-09,18.600000381469727
2013-08-12,18.81999969482422
2013-08-13,16.360000610351562
2013-08-14,16.170000076293945
2013-08-15,15.720000267028809
2013-08-16,16.010000228881836
2013-08-19,15.640000343322754
2013-08-20,15.800000190734863
2013-08-21,15.8100004196167
2013-08-22,16.270000457763672
2013-08-23,16.15999984741211
2013-08-26,16.209999084472656
2013-08-27,15.470000267028809
2013-08-28,15.34000015258789
2013-08-29,15.960000038146973
2013-08-30,16.15999984741211
2013-09-03,16.389999389648438
2013-09-04,16.809999465942383
2013-09-05,16.989999771118164
2013-09-06,16.799999237060547
2013-09-09,17.469999313354492
2013-09-10,18.1200008392334
2013-09-11,17.719999313354492
2013-09-12,17.6299991607666
2013-09-13,17.8700008392334
2013-09-16,18.06999969482422
2013-09-17,18.719999313354492
2013-09-18,18.68000030517578
2013-09-19,18.969999313354492
2013-09-20,18.889999389648438
2013-09-23,18.860000610351562
2013-09-24,18.989999771118164
2013-09-25,19.18000030517578
2013-09-26,19.469999313354492
2013-09-27,19.079999923706055
2013-09-30,18.959999084472656
2013-10-01,19.690000534057617
2013-10-02,19.84000015258789
2013-10-03,20.479999542236328
2013-10-04,20.530000686645508
2013-10-07,20.389999389648438
2013-10-08,20.020000457763672
2013-10-09,20.059999465942383
2013-10-10,20.5
2013-10-11,20.719999313354492
2013-10-14,20.579999923706055
2013-10-15,20.5
2013-10-16,20.6200008392334
2013-10-17,21.0
2013-10-18,21.139999389648438
2013-10-21,21.219999313354492
2013-10-22,21.950000762939453
2013-10-23,21.399999618530273
2013-10-24,22.670000076293945
2013-10-25,22.149999618530273
2013-10-28,22.010000228881836
2013-10-29,22.3700008392334
2013-10-30,22.579999923706055
2013-10-31,21.969999313354492
2013-11-01,22.440000534057617
2013-11-04,22.709999084472656
2013-11-05,22.68000030517578
2013-11-06,22.399999618530273
2013-11-07,22.079999923706055
2013-11-08,23.209999084472656
2013-11-11,23.270000457763672
2013-11-12,23.520000457763672
2013-11-13,23.309999465942383
2013-11-14,23.65999984741211
2013-11-15,23.889999389648438
2013-11-18,24.399999618530273
2013-11-19,24.229999542236328
2013-11-20,24.059999465942383
2013-11-21,23.989999771118164
2013-11-22,24.270000457763672
2013-11-25,24.239999771118164
2013-11-26,23.809999465942383
2013-11-27,23.979999542236328
2013-11-29,23.479999542236328
2013-12-02,23.040000915527344
2013-12-03,22.389999389648438
2013-12-04,21.8700008392334
2013-12-05,22.350000381469727
2013-12-06,22.549999237060547
2013-12-09,24.600000381469727
2013-12-10,24.8799991607666
2013-12-11,25.989999771118164
2013-12-12,25.450000762939453
2013-12-13,26.229999542236328
2013-12-16,26.610000610351562
2013-12-17,26.100000381469727
2013-12-18,26.229999542236328
2013-12-19,26.1200008392334
2013-12-20,26.329999923706055
2013-12-23,26.18000030517578
2013-12-24,26.25
2013-12-26,26.1299991607666
2013-12-27,24.940000534057617
2013-12-30,24.780000686645508
2013-12-31,25.25
2014-01-02,25.360000610351562
2014-01-03,26.540000915527344
2014-01-06,27.030000686645508
2014-01-07,26.90999984741211
2014-01-08,27.6299991607666
2014-01-09,29.420000076293945
2014-01-10,29.350000381469727
2014-01-13,28.649999618530273
2014-01-14,28.8700008392334
2014-01-15,28.84000015258789
2014-01-16,29.34000015258789
2014-01-17,30.020000457763672
2014-01-21,30.65999984741211
2014-01-22,31.200000762939453
2014-01-23,31.350000381469727
2014-01-24,30.399999618530273
2014-01-27,30.18000030517578
2014-01-28,31.959999084472656
2014-01-29,32.97999954223633
2014-01-30,33.79999923706055
2014-01-31,33.54999923706055
2014-02-03,33.959999084472656
2014-02-04,34.04999923706055
2014-02-05,33.79999923706055
2014-02-06,34.65999984741211
2014-02-07,35.66999816894531
2014-02-10,35.58000183105469
2014-02-11,35.130001068115234
2014-02-12,34.689998626708984
2014-02-13,35.029998779296875
2014-02-14,34.40999984741211
2014-02-18,34.310001373291016
2014-02-19,34.59000015258789
2014-02-20,35.65999984741211
2014-02-21,36.16999816894531
2014-02-24,36.650001525878906
2014-02-25,37.0
2014-02-26,36.75
2014-02-27,36.560001373291016
2014-02-28,36.93000030517578
2014-03-03,36.099998474121094
2014-03-04,37.34000015258789
2014-03-05,37.86000061035156
2014-03-06,38.810001373291016
2014-03-07,39.02000045776367
2014-03-10,38.959999084472656
2014-03-11,38.08000183105469
2014-03-12,37.560001373291016
2014-03-13,36.7400016784668
2014-03-14,36.34000015258789
2014-03-17,37.70000076293945
2014-03-18,37.349998474121094
2014-03-19,37.08000183105469
2014-03-20,36.560001373291016
2014-03-21,36.11000061035156
2014-03-24,36.79999923706055
2014-03-25,37.900001525878906
2014-03-26,36.70000076293945
2014-03-27,35.77000045776367
2014-03-28,35.38999938964844
2014-03-31,36.599998474121094
2014-04-01,37.939998626708984
2014-04-02,37.709999084472656
2014-04-03,37.34000015258789
2014-04-04,36.560001373291016
2014-04-07,35.779998779296875
2014-04-08,35.97999954223633
2014-04-09,36.900001525878906
2014-04-10,35.290000915527344
2014-04-11,33.68000030517578
2014-04-14,33.369998931884766
2014-04-15,33.720001220703125
2014-04-16,35.5099983215332
2014-04-17,35.400001525878906
2014-04-21,35.66999816894531
2014-04-22,36.15999984741211
2014-04-23,37.09000015258789
2014-04-24,37.2599983215332
2014-04-25,36.0
2014-04-28,35.15999984741211
2014-04-29,35.5099983215332
2014-04-30,35.06999969482422
2014-05-01,36.38999938964844
2014-05-02,36.4900016784668
2014-05-05,36.599998474121094
2014-05-06,36.66999816894531
2014-05-07,37.220001220703125
2014-05-08,38.25
2014-05-09,38.2599983215332
2014-05-12,39.38999938964844
2014-05-13,39.310001373291016
2014-05-14,38.84000015258789
2014-05-15,38.189998626708984
2014-05-16,38.529998779296875
2014-05-19,38.56999969482422
2014-05-20,38.2400016784668
2014-05-21,38.31999969482422
2014-05-22,38.720001220703125
2014-05-23,39.11000061035156
2014-05-27,39.349998474121094
2014-05-28,39.79999923706055
2014-05-29,39.81999969482422
2014-05-30,40.15999984741211
2014-06-02,41.220001220703125
2014-06-03,41.439998626708984
2014-06-04,42.81999969482422
2014-06-05,42.40999984741211
2014-06-06,43.880001068115234
2014-06-09,43.59000015258789
2014-06-10,43.65999984741211
2014-06-11,42.290000915527344
2014-06-12,40.20000076293945
2014-06-13,40.380001068115234
2014-06-16,41.060001373291016
2014-06-17,41.869998931884766
2014-06-18,42.65999984741211
2014-06-19,43.060001373291016
2014-06-20,44.54999923706055
2014-06-23,44.36000061035156
2014-06-24,43.18000030517578
2014-06-25,43.90999984741211
2014-06-26,44.54999923706055
2014-06-27,44.0
2014-06-30,42.959999084472656
2014-07-01,43.86000061035156
2014-07-02,41.95000076293945
2014-07-03,41.619998931884766
2014-07-07,40.099998474121094
2014-07-08,40.2599983215332
2014-07-09,41.9900016784668
2014-07-10,42.81999969482422
2014-07-11,42.880001068115234
2014-07-14,42.97999954223633
2014-07-15,43.70000076293945
2014-07-16,43.47999954223633
2014-07-17,41.70000076293945
2014-07-18,42.91999816894531
2014-07-21,42.47999954223633
2014-07-22,42.380001068115234
2014-07-23,43.33000183105469
2014-07-24,42.15999984741211
2014-07-25,41.68000030517578
2014-07-28,40.290000915527344
2014-07-29,39.529998779296875
2014-07-30,39.54999923706055
2014-07-31,38.849998474121094
2014-08-01,39.43000030517578
2014-08-04,38.13999938964844
2014-08-05,37.18000030517578
2014-08-06,37.459999084472656
2014-08-07,36.86000061035156
2014-08-08,37.18000030517578
2014-08-11,37.970001220703125
2014-08-12,37.52000045776367
2014-08-13,38.119998931884766
2014-08-14,39.56999969482422
2014-08-15,39.189998626708984
2014-08-18,40.65999984741211
2014-08-19,40.43000030517578
2014-08-20,40.599998474121094
2014-08-21,39.5099983215332
2014-08-22,39.849998474121094
2014-08-25,39.41999816894531
2014-08-26,39.09000015258789
2014-08-27,38.9900016784668
2014-08-28,39.16999816894531
2014-08-29,38.880001068115234
2014-09-02,40.5
2014-09-03,39.13999938964844
2014-09-04,38.470001220703125
2014-09-05,37.849998474121094
2014-09-08,38.22999954223633
2014-09-09,37.959999084472656
2014-09-10,38.58000183105469
2014-09-11,38.09000015258789
2014-09-12,37.650001525878906
2014-09-15,37.06999969482422
2014-09-16,37.97999954223633
2014-09-17,37.459999084472656
2014-09-18,38.04999923706055
2014-09-19,36.630001068115234
2014-09-22,35.58000183105469
2014-09-23,35.33000183105469
2014-09-24,36.119998931884766
2014-09-25,35.209999084472656
2014-09-26,35.93000030517578
2014-09-29,35.029998779296875
2014-09-30,35.47999954223633
2014-10-01,34.38999938964844
2014-10-02,33.93000030517578
2014-10-03,36.22999954223633
